song_name,tabs
Sweet Child O' Mine,"D,D,C,C,G,G,D,D,D,D,C,C,G,G,D,D,D,D,C,C,G,G,D,D,D,C,G,D,D,C,G,D,A,C,D,A,C,D,D,D,C,C,G,G,D,D,D,C,G,D,D,C,G,D,A,C,D,A,C,D,D,D,C,C,G,G,D,D,D,D,C,C,G,G,D,D,A,C,D,A,C,D,A,C,D,A,C,D,Em,C,B7,Am,Em,C,B7,Am,Em,C,B7,Am,Em,C,B7,Am,Am,Em,G,A,C,D,G,Em,G,A,C,D,G,Em,G,A,C,D,G,Em,G,A,C,D,G,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em"
Highway to Hell,"A,D/F#,G,D/F#,G,D/F#,G,D/F#,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,E,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,A,A,A,A,A,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,D/F#,G,D/F#,E,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,D,Dsus4,D,D,Dsus4,D,Dsus4,D,A,G,D/F#,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,G,D/F#,A,A,A,A,A"
Closer,"Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb,Dbadd9,Eb,Fm7,Eb"
Hard To Handle,"F,Bb,F,Bb,F,Bb,Eb,F,Ab,Eb,Bb,Bb,F,Bb,Eb,F,Ab,Eb,Bb,Bb,F,Bb,Eb,F,Ab,Eb,Bb,Bb"
The Middle,"D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,A,D,A,D,G,D,A,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D"
The Chain,"Em,A,A7,Am7,C,Dsus4,G,Em,A,A7,Em,A,A7,Em,Am7,Em,C,Dsus4,Am7,Em,C,Dsus4,Em,Em,A,A7,Em,A,A7,Em,A,A7,Am7,Em,C,Dsus4,Am7,Em,C,Dsus4,Em,Am7,Em,C,Dsus4,Am7,Em,C,Dsus4,Em,Am,C,G,Em,Am,C,G,Em,Am,C,G,Em,Am,C,G,Em"
Fortunate Son,"G,F,C,G,G,F,C,G,G,D,C,G,G,D,C,G,G,F,C,G,G,F,C,G,G,D,C,G,G,D,C,G,G,F,C,G,G,F,C,G,G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G"
Uprising,"D5,D5,D5,D5,Dm,Gm,F,A,Gm,F,A/C#,Dm,Gm,F,Ab5,A,Gm,F,A/C#,D5,D5,D5,D5,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm"
A Horse with No Name,"Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em,Em,Em,Em,Em,Em,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em,Em,Em,Em,Em,Em,Em,Em,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9,Em9,Dmaj9"
Dirty Deeds Done Dirt Cheap,"E5,G5,E5,A5,E5,D5,E5,D5,E5,D5,E5,D5,E5,E5,D5,E5,E5,D5,E5,E5,D5,E5,A5,G5,A5,E5,D5,E5,A5,G5,A5,E5,D5,E5,D5,E5,D5,E5,E5,D5,E5,E5,D5,E5,E5,D5,E5,A5,G5,A5,E5,D5,E5,A5,G5,A5,E5,D5,E5,D5,E5,D5,E5,E5,D5,E5,E5,D5,E5,E5,D5,E5,A5,G5,A5,E5,D5,E5,A5,G5,A5,E5,E5,G5,E5,A5,E5,D5,E5,E5,G5,E5,A5,E5,D5,E5,E5,G5,E5,A5,E5,D5,E5,A5,G5,A5,E5,D5,E5,A5,G5,A5"
